task_id,set_id,alt1_att1_streetview,alt1_att2_intensiteit,alt2_att1_streetview,alt2_att2_intensiteit
268,8,/assets/images/184275095.jpeg,Laag,/assets/images/191269022.jpeg,Hoog
269,8,/assets/images/190266032.jpeg,Hoog,/assets/images/600488624.jpeg,Hoog
270,8,/assets/images/181277036.jpeg,Middelmatig,/assets/images/190267091.jpeg,Laag
271,8,/assets/images/185273145.jpeg,Hoog,/assets/images/600097669.jpeg,Hoog
272,8,/assets/images/183263020.jpeg,Middelmatig,/assets/images/194264006.jpeg,Middelmatig
273,8,/assets/images/178273039.jpeg,Laag,/assets/images/187268044.jpeg,Laag
274,8,/assets/images/181265038.jpeg,Hoog,/assets/images/183272020.jpeg,Hoog
275,8,/assets/images/178273039.jpeg,Laag,/assets/images/185277012.jpeg,Laag
276,8,/assets/images/185272110.jpeg,Hoog,/assets/images/190264080.jpeg,Hoog
277,8,/assets/images/178273039.jpeg,Laag,/assets/images/183272020.jpeg,Hoog
278,8,/assets/images/176275195.jpeg,Hoog,/assets/images/600483010.jpeg,Laag
279,8,/assets/images/179275043.jpeg,Middelmatig,/assets/images/181277036.jpeg,Middelmatig
280,8,/assets/images/183277002.jpeg,Middelmatig,/assets/images/600483010.jpeg,Laag
281,8,/assets/images/181273107.jpeg,Laag,/assets/images/600488624.jpeg,Hoog
282,8,/assets/images/176275195.jpeg,Hoog,/assets/images/183272020.jpeg,Hoog
283,8,/assets/images/183263020.jpeg,Middelmatig,/assets/images/184276030.jpeg,Laag
284,8,/assets/images/178273039.jpeg,Laag,/assets/images/183263020.jpeg,Middelmatig
285,8,/assets/images/184273072.jpeg,Middelmatig,/assets/images/600376103.jpeg,Laag
286,8,/assets/images/181263098.jpeg,Hoog,/assets/images/182272213.jpeg,Hoog
287,8,/assets/images/183272020.jpeg,Hoog,/assets/images/600483010.jpeg,Laag
288,8,/assets/images/183277002.jpeg,Middelmatig,/assets/images/187275077.jpeg,Laag
289,9,/assets/images/178273039.jpeg,Laag,/assets/images/183272020.jpeg,Hoog
290,9,/assets/images/185272110.jpeg,Hoog,/assets/images/190264080.jpeg,Hoog
291,9,/assets/images/176275195.jpeg,Hoog,/assets/images/192265118.jpeg,Hoog
292,9,/assets/images/184273056.jpeg,Middelmatig,/assets/images/184273072.jpeg,Middelmatig
293,9,/assets/images/179265077.jpeg,Hoog,/assets/images/183277002.jpeg,Middelmatig
294,9,/assets/images/183272020.jpeg,Hoog,/assets/images/185274084.jpeg,Hoog
295,9,/assets/images/181265038.jpeg,Hoog,/assets/images/188274022.jpeg,Middelmatig
296,9,/assets/images/183263020.jpeg,Middelmatig,/assets/images/184263029.jpeg,Middelmatig
297,9,/assets/images/183272020.jpeg,Hoog,/assets/images/184275160.jpeg,Middelmatig
298,9,/assets/images/186273081.jpeg,Hoog,/assets/images/600097669.jpeg,Hoog
299,9,/assets/images/182272213.jpeg,Hoog,/assets/images/186279088.jpeg,Hoog
300,9,/assets/images/183270022.jpeg,Middelmatig,/assets/images/184273072.jpeg,Middelmatig
301,9,/assets/images/178273039.jpeg,Laag,/assets/images/191274027.jpeg,Middelmatig
302,9,/assets/images/181265038.jpeg,Hoog,/assets/images/187274156.jpeg,Hoog
303,9,/assets/images/176275195.jpeg,Hoog,/assets/images/183272020.jpeg,Hoog
304,9,/assets/images/182274179.jpeg,Middelmatig,/assets/images/187270060.jpeg,Middelmatig
