intersection_id,leg_bearing
182266035,279.1
182266036,104.4
182266039,187.5
182266040,107.5
182266042,103.6
182266045,16.4
182266046,291.1
182266051,212.4
182266053,4.1
182266092,71.7
182266093,236.5
182266104,299.0
182266105,106.4
182266106,197.5
182267005,106.0
182267007,19.1
182267010,22.2
182267012,19.0
182267013,292.2
182267014,112.9
182267017,203.8
182267019,290.9
182267020,17.6
182267021,110.1
182267022,283.3
182267023,202.7
182267025,290.6
182267026,291.9
182267027,291.6
182267031,321.9
182267032,20.8
182267050,112.4
182267051,291.7
182267052,202.3
182267053,103.2
182268012,5.6
182268021,290.8
182268022,201.4
182268064,246.5
182268067,22.7
182268072,156.5
182268076,24.6
182268079,22.2
182268081,335.7
182268099,105.9
182268102,106.1
182268122,240.3
182268131,248.3
182269016,2.2
182269019,92.6
182269021,2.7
182269022,2.3
182270017,157.3
182270020,357.2
182270021,168.7
182270025,347.3
182271002,251.6
182271009,69.2
182271011,334.7
182271019,337.3
182271025,28.1
182271040,49.6
182271042,49.0
182271051,66.7
182271080,339.1
182271086,49.2
182271094,259.2
182271107,49.8
182271108,72.5
182271109,347.7
182271114,166.8
182272034,343.9
182272059,162.8
182272087,226.1
182272092,306.8
182272100,69.3
182272106,170.5
182272110,347.5
182272111,165.0
182272194,242.6
182272201,234.3
182272229,336.7
182273034,93.0
182273035,184.7
182273071,341.7
182273109,355.0
182273112,353.3
182273114,270.6
182273127,268.3
182273128,270.8
182273133,274.0
182274038,257.1
182274139,245.9
182274173,349.9
182275013,151.0
182275017,151.1
182275018,190.6
182275090,203.2
182275092,333.7
182275168,226.7
182276007,168.1
182276011,153.3
182276012,271.1
182276018,153.6
182276019,285.3
182276020,88.5
182276026,242.3
182276030,118.9
182276031,124.0
182276035,173.0
182276053,152.7
182276104,89.4
182276108,331.6
182276109,44.0
182276112,223.5
182276114,324.4
182276115,38.9
182276118,37.1
182276119,1.2
182276127,243.4
182276139,221.4
182276145,32.5
182276149,85.3
182276153,234.8
182276159,228.6
182276182,338.1
182276188,146.9
182276189,242.8
182276196,244.1
182276198,224.1
182277001,242.8
182277002,152.8
182277003,155.5
182277004,61.9
182277005,152.5
182277006,329.2
182277008,333.0
182277009,62.2
182277010,332.6
182277011,332.8
182277012,153.0
182277013,243.5
182277015,152.7
182277016,152.7
182277017,242.6
182277018,332.7
182277019,333.0
182277020,62.9
182277021,152.3
182277024,333.0
182277028,332.7
182277030,61.0
182277031,152.8
182277032,333.9
182277033,152.8
182277034,63.8
182277035,149.5
182277036,240.9
182277038,38.9
182277039,76.0
182277047,241.9
182278004,242.8
182278005,332.2
182278218,146.6
182278227,60.1
183262009,93.2
183263004,90.0
183263010,100.5
183263011,190.9
183263012,100.8
183263015,101.3
183263018,11.2
183263018,11.2
183263018,11.2
183263018,11.2
183263018,11.2
183263019,281.0
183263023,11.3
183263024,99.1
183263025,10.8
183263030,281.2
183263031,281.0
183263032,280.8
183263036,192.2
183263037,12.2
183263056,281.1
183264008,190.3
183264009,282.5
183264010,190.7
183264013,99.3
183264014,342.8
183264017,190.8
183264018,191.2
183264019,10.4
183264020,9.9
183264021,188.1
183264024,190.9
183264025,10.1
183264027,280.8
183264028,294.1
183264032,301.2
183264034,271.1
183264044,13.3
183264045,279.3
183264047,275.8
183264053,216.0
183264055,95.9
183264056,290.1
183264058,280.8
183264060,281.0
183264062,190.9
183265006,42.0
183265025,181.8
183265037,109.5
183265060,46.3
183265080,39.6
183265085,73.8
183265106,124.7
183265107,197.0
183266003,94.4
183266007,92.2
183266014,294.8
183266017,214.2
183266019,6.0
183266020,281.3
183266024,102.3
183266027,185.3
183266028,97.3
183266029,189.8
183266033,277.4
183266046,120.3
